class,precision,recall,f1,model
36,100.0,100.0,100.0,imbalanced_resnet_50.csv
37,95.45454545454544,95.45454545454544,95.45454545454544,imbalanced_resnet_50.csv
38,90.86021505376344,90.86021505376344,90.86021505376344,imbalanced_resnet_50.csv
39,100.0,100.0,100.0,imbalanced_resnet_50.csv
40,84.78260869565217,84.78260869565217,84.78260869565217,imbalanced_resnet_50.csv
41,91.11111111111111,91.11111111111111,91.11111111111111,imbalanced_resnet_50.csv
42,99.28571428571428,99.28571428571428,99.28571428571428,imbalanced_resnet_50.csv
0,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
1,95.20383693045564,95.20383693045564,95.20383693045564,balanced_SMOTE_CNN.csv
2,99.7835497835498,99.7835497835498,99.7835497835498,balanced_SMOTE_CNN.csv
3,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
4,99.56427015250546,99.56427015250546,99.56427015250546,balanced_SMOTE_CNN.csv
5,99.32279909706546,99.32279909706546,99.32279909706546,balanced_SMOTE_CNN.csv
6,99.78947368421052,99.78947368421052,99.78947368421052,balanced_SMOTE_CNN.csv
7,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
8,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
9,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
10,99.54954954954955,99.54954954954955,99.54954954954955,balanced_SMOTE_CNN.csv
11,99.54337899543378,99.54337899543378,99.54337899543378,balanced_SMOTE_CNN.csv
12,97.95918367346938,97.95918367346938,97.95918367346938,balanced_SMOTE_CNN.csv
13,99.29411764705884,99.29411764705884,99.29411764705884,balanced_SMOTE_CNN.csv
14,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
15,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
16,99.17355371900828,99.17355371900828,99.17355371900828,balanced_SMOTE_CNN.csv
17,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
18,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
19,99.7872340425532,99.7872340425532,99.7872340425532,balanced_SMOTE_CNN.csv
20,99.7695852534562,99.7695852534562,99.7695852534562,balanced_SMOTE_CNN.csv
21,99.53596287703016,99.53596287703016,99.53596287703016,balanced_SMOTE_CNN.csv
22,99.76470588235294,99.76470588235294,99.76470588235294,balanced_SMOTE_CNN.csv
23,97.74774774774777,97.74774774774777,97.74774774774777,balanced_SMOTE_CNN.csv
24,99.38144329896907,99.38144329896907,99.38144329896907,balanced_SMOTE_CNN.csv
25,99.77678571428572,99.77678571428572,99.77678571428572,balanced_SMOTE_CNN.csv
26,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
27,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
28,99.7872340425532,99.7872340425532,99.7872340425532,balanced_SMOTE_CNN.csv
29,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
30,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
31,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
32,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
33,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
34,97.98206278026906,97.98206278026906,97.98206278026906,balanced_SMOTE_CNN.csv
35,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
36,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
37,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
38,95.3125,95.3125,95.3125,balanced_SMOTE_CNN.csv
39,100.0,100.0,100.0,balanced_SMOTE_CNN.csv
40,98.91067538126362,98.91067538126362,98.91067538126362,balanced_SMOTE_CNN.csv
41,99.10514541387025,99.10514541387025,99.10514541387025,balanced_SMOTE_CNN.csv
42,99.56616052060735,99.56616052060735,99.56616052060735,balanced_SMOTE_CNN.csv
0,92.50535331905782,92.50535331905782,92.50535331905782,balanced_SMOTE_ResNet_152.csv
1,98.8009592326139,98.8009592326139,98.8009592326139,balanced_SMOTE_ResNet_152.csv
2,98.91774891774892,98.91774891774892,98.91774891774892,balanced_SMOTE_ResNet_152.csv
3,99.08256880733946,99.08256880733946,99.08256880733946,balanced_SMOTE_ResNet_152.csv
4,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
5,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
6,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
7,99.6,99.6,99.6,balanced_SMOTE_ResNet_152.csv
8,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
9,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
10,96.3963963963964,96.3963963963964,96.3963963963964,balanced_SMOTE_ResNet_152.csv
11,99.77168949771688,99.77168949771688,99.77168949771688,balanced_SMOTE_ResNet_152.csv
12,95.66326530612244,95.66326530612244,95.66326530612244,balanced_SMOTE_ResNet_152.csv
13,99.52941176470588,99.52941176470588,99.52941176470588,balanced_SMOTE_ResNet_152.csv
14,99.57081545064378,99.57081545064378,99.57081545064378,balanced_SMOTE_ResNet_152.csv
15,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
16,96.69421487603306,96.69421487603306,96.69421487603306,balanced_SMOTE_ResNet_152.csv
17,99.7752808988764,99.7752808988764,99.7752808988764,balanced_SMOTE_ResNet_152.csv
18,99.56989247311829,99.56989247311829,99.56989247311829,balanced_SMOTE_ResNet_152.csv
19,99.7872340425532,99.7872340425532,99.7872340425532,balanced_SMOTE_ResNet_152.csv
20,99.53917050691244,99.53917050691244,99.53917050691244,balanced_SMOTE_ResNet_152.csv
21,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
22,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
23,97.2972972972973,97.2972972972973,97.2972972972973,balanced_SMOTE_ResNet_152.csv
24,99.79381443298968,99.79381443298968,99.79381443298968,balanced_SMOTE_ResNet_152.csv
25,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
26,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
27,99.1011235955056,99.1011235955056,99.1011235955056,balanced_SMOTE_ResNet_152.csv
28,99.7872340425532,99.7872340425532,99.7872340425532,balanced_SMOTE_ResNet_152.csv
29,96.66666666666669,96.66666666666669,96.66666666666669,balanced_SMOTE_ResNet_152.csv
30,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
31,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
32,99.78165938864628,99.78165938864628,99.78165938864628,balanced_SMOTE_ResNet_152.csv
33,99.78768577494692,99.78768577494692,99.78768577494692,balanced_SMOTE_ResNet_152.csv
34,97.75784753363229,97.75784753363229,97.75784753363229,balanced_SMOTE_ResNet_152.csv
35,97.14285714285714,97.14285714285714,97.14285714285714,balanced_SMOTE_ResNet_152.csv
36,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
37,100.0,100.0,100.0,balanced_SMOTE_ResNet_152.csv
38,95.53571428571428,95.53571428571428,95.53571428571428,balanced_SMOTE_ResNet_152.csv
39,99.51923076923076,99.51923076923076,99.51923076923076,balanced_SMOTE_ResNet_152.csv
40,99.34640522875816,99.34640522875816,99.34640522875816,balanced_SMOTE_ResNet_152.csv
41,99.10514541387025,99.10514541387025,99.10514541387025,balanced_SMOTE_ResNet_152.csv
42,99.56616052060735,99.56616052060735,99.56616052060735,balanced_SMOTE_ResNet_152.csv
0,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
1,92.0863309352518,92.0863309352518,92.0863309352518,balanced_SMOTE_ResNet_50.csv
2,98.91774891774892,98.91774891774892,98.91774891774892,balanced_SMOTE_ResNet_50.csv
3,99.31192660550458,99.31192660550458,99.31192660550458,balanced_SMOTE_ResNet_50.csv
4,99.78213507625271,99.78213507625271,99.78213507625271,balanced_SMOTE_ResNet_50.csv
5,99.54853273137697,99.54853273137697,99.54853273137697,balanced_SMOTE_ResNet_50.csv
6,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
7,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
8,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
9,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
10,99.32432432432432,99.32432432432432,99.32432432432432,balanced_SMOTE_ResNet_50.csv
11,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
12,97.95918367346938,97.95918367346938,97.95918367346938,balanced_SMOTE_ResNet_50.csv
13,99.29411764705884,99.29411764705884,99.29411764705884,balanced_SMOTE_ResNet_50.csv
14,98.71244635193132,98.71244635193132,98.71244635193132,balanced_SMOTE_ResNet_50.csv
15,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
16,98.55371900826448,98.55371900826448,98.55371900826448,balanced_SMOTE_ResNet_50.csv
17,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
18,96.7741935483871,96.7741935483871,96.7741935483871,balanced_SMOTE_ResNet_50.csv
19,99.7872340425532,99.7872340425532,99.7872340425532,balanced_SMOTE_ResNet_50.csv
20,100.0,100.0,100.0,balanced_SMOTE_ResNet_50.csv
21,98.14385150812063,98.14385150812063,98.14385150812063,balanced_SMOTE_ResNet_50.csv
22,99.76470588235294,99.76470588235294,99.76470588235294,balanced_SMOTE_ResNet_50.csv
