,precision,recall,f1-score,support
0,1,1,1,36
1,0.988839286,0.975770925,0.982261641,454
2,0.997722096,0.997722096,0.997722096,439
3,0.988679245,0.988679245,0.988679245,265
4,1,0.997624703,0.998810939,421
5,1,0.99537037,0.997679814,432
6,1,0.99382716,0.996904025,162
7,0.958677686,0.991452991,0.974789916,117
8,1,1,1,81
9,1,1,1,227
10,0.987854251,0.991869919,0.989858012,246
11,0.976744186,1,0.988235294,42
12,0.982339956,0.980176211,0.981256891,454
13,0.933333333,0.98245614,0.957264957,57
14,0.984848485,0.955882353,0.970149254,68
15,0.976190476,1,0.987951807,82
16,0.989361702,0.989361702,0.989361702,94
17,1,1,1,53
18,0.996688742,0.986885246,0.991762768,305
19,1,0.978723404,0.989247312,141
20,1,1,1,47
21,0.98989899,0.98,0.984924623,100
22,0.943396226,0.980392157,0.961538462,51
23,0.98615917,0.982758621,0.984455959,290
24,0.974358974,0.962025316,0.968152866,79
25,0.98,0.98,0.98,150
26,1,1,1,40
27,0.985611511,1,0.992753623,137
28,1,1,1,83
29,1,0.990990991,0.995475113,222
30,0.984126984,1,0.992,62
31,1,1,1,47
32,1,1,1,399
33,1,1,1,68
34,0.992327366,0.982278481,0.987277354,395
35,1,1,1,79
36,0.98,1,0.98989899,49
37,1,1,1,44
38,0.970744681,0.981182796,0.975935829,372
39,1,1,1,88
40,0.993730408,0.98447205,0.989079563,322
41,0.960714286,0.996296296,0.978181818,270
42,0.989285714,0.989285714,0.989285714,280
