class,precision,recall,f1,support,model
39,0.997601918,1.0,0.99879952,416,balanced_SMOTE_ResNet_50.csv
40,0.997777778,0.978213508,0.98789879,459,balanced_SMOTE_ResNet_50.csv
41,0.977876106,0.988814318,0.983314794,447,balanced_SMOTE_ResNet_50.csv
42,0.982832618,0.993492408,0.988133765,461,balanced_SMOTE_ResNet_50.csv
0,0.997840173,0.989293362,0.993548387,467,balanced_SMOTE_ResNet_152.csv
1,0.982758621,0.956834532,0.969623329,417,balanced_SMOTE_ResNet_152.csv
2,0.997826087,0.993506494,0.995661605,462,balanced_SMOTE_ResNet_152.csv
3,0.988662132,1.0,0.994298746,436,balanced_SMOTE_ResNet_152.csv
4,0.997826087,1.0,0.998911861,459,balanced_SMOTE_ResNet_152.csv
5,1.0,0.995485327,0.997737557,443,balanced_SMOTE_ResNet_152.csv
6,1.0,0.997894737,0.998946259,475,balanced_SMOTE_ResNet_152.csv
7,1.0,1.0,1.0,500,balanced_SMOTE_ResNet_152.csv
8,0.993617021,1.0,0.996798292,467,balanced_SMOTE_ResNet_152.csv
9,0.995604396,1.0,0.997797357,453,balanced_SMOTE_ResNet_152.csv
10,1.0,0.995495495,0.997742664,444,balanced_SMOTE_ResNet_152.csv
11,0.997722096,1.0,0.998859749,438,balanced_SMOTE_ResNet_152.csv
12,0.971649485,0.961734694,0.966666667,392,balanced_SMOTE_ResNet_152.csv
13,1.0,0.985882353,0.992890995,425,balanced_SMOTE_ResNet_152.csv
14,0.991489362,1.0,0.995726496,466,balanced_SMOTE_ResNet_152.csv
15,1.0,1.0,1.0,449,balanced_SMOTE_ResNet_152.csv
16,0.997933884,0.997933884,0.997933884,484,balanced_SMOTE_ResNet_152.csv
17,1.0,0.997752809,0.998875141,445,balanced_SMOTE_ResNet_152.csv
18,0.985138004,0.997849462,0.991452991,465,balanced_SMOTE_ResNet_152.csv
19,0.993644068,0.99787234,0.995753715,470,balanced_SMOTE_ResNet_152.csv
20,0.997701149,1.0,0.998849252,434,balanced_SMOTE_ResNet_152.csv
21,0.995327103,0.988399072,0.99185099,431,balanced_SMOTE_ResNet_152.csv
22,0.992907801,0.988235294,0.990566038,425,balanced_SMOTE_ResNet_152.csv
23,0.979775281,0.981981982,0.98087739,444,balanced_SMOTE_ResNet_152.csv
24,0.98973306,0.993814433,0.991769547,485,balanced_SMOTE_ResNet_152.csv
25,1.0,0.977678571,0.988713318,448,balanced_SMOTE_ResNet_152.csv
26,0.988789238,0.997737557,0.993243243,442,balanced_SMOTE_ResNet_152.csv
27,1.0,1.0,1.0,445,balanced_SMOTE_ResNet_152.csv
28,1.0,1.0,1.0,470,balanced_SMOTE_ResNet_152.csv
29,1.0,1.0,1.0,480,balanced_SMOTE_ResNet_152.csv
30,1.0,1.0,1.0,441,balanced_SMOTE_ResNet_152.csv
31,1.0,1.0,1.0,456,balanced_SMOTE_ResNet_152.csv
32,1.0,1.0,1.0,458,balanced_SMOTE_ResNet_152.csv
33,1.0,1.0,1.0,471,balanced_SMOTE_ResNet_152.csv
34,0.973273942,0.979820628,0.976536313,446,balanced_SMOTE_ResNet_152.csv
35,1.0,1.0,1.0,420,balanced_SMOTE_ResNet_152.csv
36,1.0,1.0,1.0,427,balanced_SMOTE_ResNet_152.csv
37,0.997727273,1.0,0.998862344,439,balanced_SMOTE_ResNet_152.csv
38,0.962637363,0.977678571,0.970099668,448,balanced_SMOTE_ResNet_152.csv
39,1.0,1.0,1.0,416,balanced_SMOTE_ResNet_152.csv
40,0.971922246,0.980392157,0.976138829,459,balanced_SMOTE_ResNet_152.csv
41,0.973451327,0.984340045,0.978865406,447,balanced_SMOTE_ResNet_152.csv
42,0.997811816,0.989154013,0.993464052,461,balanced_SMOTE_ResNet_152.csv
0,1.0,0.913043478,0.954545455,46,balanced_tk_cnn.csv
1,0.989224138,0.966315789,0.977635783,475,balanced_tk_cnn.csv
2,0.995073892,1.0,0.997530864,404,balanced_tk_cnn.csv
3,0.988416988,0.996108949,0.992248062,257,balanced_tk_cnn.csv
4,1.0,0.995110024,0.99754902,409,balanced_tk_cnn.csv
5,0.99270073,0.997555012,0.995121951,409,balanced_tk_cnn.csv
6,1.0,1.0,1.0,169,balanced_tk_cnn.csv
7,0.991596639,0.991596639,0.991596639,119,balanced_tk_cnn.csv
8,0.988764045,1.0,0.994350282,88,balanced_tk_cnn.csv
9,1.0,1.0,1.0,241,balanced_tk_cnn.csv
10,0.995983936,0.995983936,0.995983936,249,balanced_tk_cnn.csv
11,0.970588235,0.970588235,0.970588235,34,balanced_tk_cnn.csv
12,0.984340045,0.990990991,0.987654321,444,balanced_tk_cnn.csv
13,0.973684211,0.961038961,0.967320261,77,balanced_tk_cnn.csv
14,0.966101695,0.904761905,0.93442623,63,balanced_tk_cnn.csv
15,0.989130435,1.0,0.994535519,91,balanced_tk_cnn.csv
16,0.978723404,0.989247312,0.983957219,93,balanced_tk_cnn.csv
17,0.982758621,1.0,0.991304348,57,balanced_tk_cnn.csv
18,0.992537313,1.0,0.996254682,266,balanced_tk_cnn.csv
19,0.990654206,0.981481481,0.986046512,108,balanced_tk_cnn.csv
20,1.0,1.0,1.0,51,balanced_tk_cnn.csv
21,1.0,0.989795918,0.994871795,98,balanced_tk_cnn.csv
22,0.981818182,0.981818182,0.981818182,55,balanced_tk_cnn.csv
23,1.0,0.981684982,0.990757856,273,balanced_tk_cnn.csv
24,1.0,0.95959596,0.979381443,99,balanced_tk_cnn.csv
25,0.960784314,0.993243243,0.976744186,148,balanced_tk_cnn.csv
26,1.0,1.0,1.0,34,balanced_tk_cnn.csv
27,0.993506494,1.0,0.996742671,153,balanced_tk_cnn.csv
28,1.0,0.981651376,0.990740741,109,balanced_tk_cnn.csv
29,1.0,1.0,1.0,252,balanced_tk_cnn.csv
30,1.0,1.0,1.0,84,balanced_tk_cnn.csv
31,1.0,1.0,1.0,42,balanced_tk_cnn.csv
32,0.995327103,1.0,0.99765808,426,balanced_tk_cnn.csv
33,1.0,1.0,1.0,56,balanced_tk_cnn.csv
34,0.958435208,1.0,0.978776529,392,balanced_tk_cnn.csv
35,1.0,0.983333333,0.991596639,60,balanced_tk_cnn.csv
36,1.0,1.0,1.0,43,balanced_tk_cnn.csv
37,1.0,1.0,1.0,49,balanced_tk_cnn.csv
38,0.984126984,0.984126984,0.984126984,378,balanced_tk_cnn.csv
