,precision,recall,f1-score,support
0,1,0.995717345,0.997854077,467
1,0.944700461,0.983213429,0.963572268,417
2,0.989270386,0.997835498,0.993534483,462
3,0.974943052,0.981651376,0.978285714,436
4,0.997807018,0.991285403,0.994535519,459
5,0.997727273,0.990970655,0.994337486,443
6,0.99789916,1,0.998948475,475
7,0.99009901,1,0.995024876,500
8,1,0.997858672,0.998928189,467
9,0.993421053,1,0.99669967,453
10,0.997695853,0.975225225,0.986332574,444
11,1,1,1,438
12,0.923809524,0.989795918,0.955665025,392
13,0.983796296,1,0.991831972,425
14,0.987288136,1,0.993603412,466
15,0.99556541,1,0.997777778,449
16,0.993670886,0.973140496,0.983298539,484
17,1,1,1,445
18,0.993506494,0.987096774,0.990291262,465
19,0.987315011,0.993617021,0.990455992,470
20,1,0.974654378,0.987164527,434
21,0.995327103,0.988399072,0.99185099,431
22,1,1,1,425
23,1,0.882882883,0.937799043,444
24,0.975806452,0.997938144,0.986748216,485
25,0.988938053,0.997767857,0.993333333,448
26,0.9844098,1,0.992143659,442
27,0.997757848,1,0.998877666,445
28,0.995762712,1,0.997876858,470
29,1,0.991666667,0.9958159,480
30,1,0.997732426,0.998864926,441
31,1,1,1,456
32,0.995633188,0.995633188,0.995633188,458
33,1,0.997876858,0.998937301,471
34,0.986516854,0.984304933,0.985409652,446
35,1,1,1,420
36,0.993006993,0.99765808,0.995327103,427
37,0.997722096,0.997722096,0.997722096,439
38,0.950561798,0.944196429,0.947368421,448
39,0.997601918,1,0.99879952,416
40,0.997777778,0.978213508,0.98789879,459
41,0.977876106,0.988814318,0.983314794,447
42,0.982832618,0.993492408,0.988133765,461
