class,accuracy,precision,recall,f1,support,model
26,100,0.9844098,1,0.992143659,442,balanced_SMOTE_ResNet_50.csv
27,100,0.997757848,1,0.998877666,445,balanced_SMOTE_ResNet_50.csv
28,100,0.995762712,1,0.997876858,470,balanced_SMOTE_ResNet_50.csv
29,99.16666667,1,0.991666667,0.9958159,480,balanced_SMOTE_ResNet_50.csv
30,99.77324263,1,0.997732426,0.998864926,441,balanced_SMOTE_ResNet_50.csv
31,100,1,1,1,456,balanced_SMOTE_ResNet_50.csv
32,99.56331878,0.995633188,0.995633188,0.995633188,458,balanced_SMOTE_ResNet_50.csv
33,99.78768577,1,0.997876858,0.998937301,471,balanced_SMOTE_ResNet_50.csv
34,98.43049327,0.986516854,0.984304933,0.985409652,446,balanced_SMOTE_ResNet_50.csv
35,100,1,1,1,420,balanced_SMOTE_ResNet_50.csv
36,99.76580796,0.993006993,0.99765808,0.995327103,427,balanced_SMOTE_ResNet_50.csv
37,99.77220957,0.997722096,0.997722096,0.997722096,439,balanced_SMOTE_ResNet_50.csv
38,94.41964286,0.950561798,0.944196429,0.947368421,448,balanced_SMOTE_ResNet_50.csv
39,100,0.997601918,1,0.99879952,416,balanced_SMOTE_ResNet_50.csv
40,97.82135076,0.997777778,0.978213508,0.98789879,459,balanced_SMOTE_ResNet_50.csv
41,98.88143177,0.977876106,0.988814318,0.983314794,447,balanced_SMOTE_ResNet_50.csv
42,99.34924078,0.982832618,0.993492408,0.988133765,461,balanced_SMOTE_ResNet_50.csv
0,98.92933619,0.997840173,0.989293362,0.993548387,467,balanced_SMOTE_ResNet_152.csv
1,95.68345324,0.982758621,0.956834532,0.969623329,417,balanced_SMOTE_ResNet_152.csv
2,99.35064935,0.997826087,0.993506494,0.995661605,462,balanced_SMOTE_ResNet_152.csv
3,100,0.988662132,1,0.994298746,436,balanced_SMOTE_ResNet_152.csv
4,100,0.997826087,1,0.998911861,459,balanced_SMOTE_ResNet_152.csv
5,99.54853273,1,0.995485327,0.997737557,443,balanced_SMOTE_ResNet_152.csv
6,99.78947368,1,0.997894737,0.998946259,475,balanced_SMOTE_ResNet_152.csv
7,100,1,1,1,500,balanced_SMOTE_ResNet_152.csv
8,100,0.993617021,1,0.996798292,467,balanced_SMOTE_ResNet_152.csv
9,100,0.995604396,1,0.997797357,453,balanced_SMOTE_ResNet_152.csv
10,99.54954955,1,0.995495495,0.997742664,444,balanced_SMOTE_ResNet_152.csv
11,100,0.997722096,1,0.998859749,438,balanced_SMOTE_ResNet_152.csv
12,96.17346939,0.971649485,0.961734694,0.966666667,392,balanced_SMOTE_ResNet_152.csv
13,98.58823529,1,0.985882353,0.992890995,425,balanced_SMOTE_ResNet_152.csv
14,100,0.991489362,1,0.995726496,466,balanced_SMOTE_ResNet_152.csv
15,100,1,1,1,449,balanced_SMOTE_ResNet_152.csv
16,99.79338843,0.997933884,0.997933884,0.997933884,484,balanced_SMOTE_ResNet_152.csv
17,99.7752809,1,0.997752809,0.998875141,445,balanced_SMOTE_ResNet_152.csv
18,99.78494624,0.985138004,0.997849462,0.991452991,465,balanced_SMOTE_ResNet_152.csv
19,99.78723404,0.993644068,0.99787234,0.995753715,470,balanced_SMOTE_ResNet_152.csv
20,100,0.997701149,1,0.998849252,434,balanced_SMOTE_ResNet_152.csv
21,98.83990719,0.995327103,0.988399072,0.99185099,431,balanced_SMOTE_ResNet_152.csv
22,98.82352941,0.992907801,0.988235294,0.990566038,425,balanced_SMOTE_ResNet_152.csv
23,98.1981982,0.979775281,0.981981982,0.98087739,444,balanced_SMOTE_ResNet_152.csv
24,99.3814433,0.98973306,0.993814433,0.991769547,485,balanced_SMOTE_ResNet_152.csv
25,97.76785714,1,0.977678571,0.988713318,448,balanced_SMOTE_ResNet_152.csv
26,99.77375566,0.988789238,0.997737557,0.993243243,442,balanced_SMOTE_ResNet_152.csv
27,100,1,1,1,445,balanced_SMOTE_ResNet_152.csv
28,100,1,1,1,470,balanced_SMOTE_ResNet_152.csv
29,100,1,1,1,480,balanced_SMOTE_ResNet_152.csv
30,100,1,1,1,441,balanced_SMOTE_ResNet_152.csv
31,100,1,1,1,456,balanced_SMOTE_ResNet_152.csv
32,100,1,1,1,458,balanced_SMOTE_ResNet_152.csv
33,100,1,1,1,471,balanced_SMOTE_ResNet_152.csv
34,97.98206278,0.973273942,0.979820628,0.976536313,446,balanced_SMOTE_ResNet_152.csv
35,100,1,1,1,420,balanced_SMOTE_ResNet_152.csv
36,100,1,1,1,427,balanced_SMOTE_ResNet_152.csv
37,100,0.997727273,1,0.998862344,439,balanced_SMOTE_ResNet_152.csv
38,97.76785714,0.962637363,0.977678571,0.970099668,448,balanced_SMOTE_ResNet_152.csv
39,100,1,1,1,416,balanced_SMOTE_ResNet_152.csv
40,98.03921569,0.971922246,0.980392157,0.976138829,459,balanced_SMOTE_ResNet_152.csv
41,98.43400447,0.973451327,0.984340045,0.978865406,447,balanced_SMOTE_ResNet_152.csv
42,98.9154013,0.997811816,0.989154013,0.993464052,461,balanced_SMOTE_ResNet_152.csv
0,91.30434783,1,0.913043478,0.954545455,46,balanced_tk_cnn.csv
1,69.68421053,0.989224138,0.966315789,0.977635783,475,balanced_tk_cnn.csv
2,99.75247525,0.995073892,1,0.997530864,404,balanced_tk_cnn.csv
3,99.22178988,0.988416988,0.996108949,0.992248062,257,balanced_tk_cnn.csv
4,98.28850856,1,0.995110024,0.99754902,409,balanced_tk_cnn.csv
5,100,0.99270073,0.997555012,0.995121951,409,balanced_tk_cnn.csv
6,95.85798817,1,1,1,169,balanced_tk_cnn.csv
7,90.75630252,0.991596639,0.991596639,0.991596639,119,balanced_tk_cnn.csv
8,100,0.988764045,1,0.994350282,88,balanced_tk_cnn.csv
9,98.75518672,1,1,1,241,balanced_tk_cnn.csv
10,91.96787149,0.995983936,0.995983936,0.995983936,249,balanced_tk_cnn.csv
11,97.05882353,0.970588235,0.970588235,0.970588235,34,balanced_tk_cnn.csv
12,81.53153153,0.984340045,0.990990991,0.987654321,444,balanced_tk_cnn.csv
13,88.31168831,0.973684211,0.961038961,0.967320261,77,balanced_tk_cnn.csv
14,80.95238095,0.966101695,0.904761905,0.93442623,63,balanced_tk_cnn.csv
15,100,0.989130435,1,0.994535519,91,balanced_tk_cnn.csv
16,97.84946237,0.978723404,0.989247312,0.983957219,93,balanced_tk_cnn.csv
17,50.87719298,0.982758621,1,0.991304348,57,balanced_tk_cnn.csv
18,94.73684211,0.992537313,1,0.996254682,266,balanced_tk_cnn.csv
19,87.03703704,0.990654206,0.981481481,0.986046512,108,balanced_tk_cnn.csv
20,96.07843137,1,1,1,51,balanced_tk_cnn.csv
21,89.79591837,1,0.989795918,0.994871795,98,balanced_tk_cnn.csv
22,96.36363636,0.981818182,0.981818182,0.981818182,55,balanced_tk_cnn.csv
23,93.40659341,1,0.981684982,0.990757856,273,balanced_tk_cnn.csv
24,95.95959596,1,0.95959596,0.979381443,99,balanced_tk_cnn.csv
25,98.64864865,0.960784314,0.993243243,0.976744186,148,balanced_tk_cnn.csv
26,88.23529412,1,1,1,34,balanced_tk_cnn.csv
27,100,0.993506494,1,0.996742671,153,balanced_tk_cnn.csv
28,97.24770642,1,0.981651376,0.990740741,109,balanced_tk_cnn.csv
29,98.80952381,1,1,1,252,balanced_tk_cnn.csv
30,97.61904762,1,1,1,84,balanced_tk_cnn.csv
31,78.57142857,1,1,1,42,balanced_tk_cnn.csv
32,98.82629108,0.995327103,1,0.99765808,426,balanced_tk_cnn.csv
33,100,1,1,1,56,balanced_tk_cnn.csv
34,68.36734694,0.958435208,1,0.978776529,392,balanced_tk_cnn.csv
35,100,1,0.983333333,0.991596639,60,balanced_tk_cnn.csv
36,100,1,1,1,43,balanced_tk_cnn.csv
37,93.87755102,1,1,1,49,balanced_tk_cnn.csv
