,precision,recall,f1-score,support
0,0.84,0.913043478,0.875,46
1,0.996987952,0.696842105,0.820322181,475
2,0.982926829,0.997524752,0.99017199,404
3,0.965909091,0.992217899,0.978886756,257
4,1,0.982885086,0.991368681,409
5,0.969194313,1,0.984356197,409
6,1,0.958579882,0.978851964,169
7,1,0.907563025,0.95154185,119
8,1,1,1,88
9,0.975409836,0.987551867,0.981443299,241
10,1,0.919678715,0.958158996,249
11,1,0.970588235,0.985074627,34
12,0.898263027,0.815315315,0.854781582,444
13,0.985507246,0.883116883,0.931506849,77
14,0.944444444,0.80952381,0.871794872,63
15,0.928571429,1,0.962962963,91
16,0.866666667,0.978494624,0.919191919,93
17,1,0.50877193,0.674418605,57
18,0.961832061,0.947368421,0.954545455,266
19,0.921568627,0.87037037,0.895238095,108
20,0.636363636,0.960784314,0.765625,51
21,1,0.897959184,0.946236559,98
22,0.791044776,0.963636364,0.868852459,55
23,0.94095941,0.934065934,0.9375,273
24,0.778688525,0.95959596,0.859728507,99
25,0.924050633,0.986486486,0.954248366,148
26,0.9375,0.882352941,0.909090909,34
27,0.987096774,1,0.993506494,153
28,1,0.972477064,0.986046512,109
29,1,0.988095238,0.994011976,252
30,0.976190476,0.976190476,0.976190476,84
31,0.970588235,0.785714286,0.868421053,42
32,0.974537037,0.988262911,0.981351981,426
33,0.875,1,0.933333333,56
34,0.974545455,0.683673469,0.803598201,392
35,0.681818182,1,0.810810811,60
36,0.914893617,1,0.955555556,43
37,1,0.93877551,0.968421053,49
38,0.786995516,0.928571429,0.851941748,378
39,1,0.987951807,0.993939394,83
40,0.876221498,0.953900709,0.913412564,282
41,0.589164786,0.981203008,0.736248237,266
42,0.986622074,0.964052288,0.975206612,306
