0,0.972972973,1,0.98630137,36
1,0.952586207,0.973568282,0.962962963,454
2,0.995464853,1,0.997727273,439
3,0.992424242,0.988679245,0.990548204,265
4,0.997613365,0.992874109,0.995238095,421
5,1,0.99537037,0.997679814,432
6,0.993865031,1,0.996923077,162
7,0.950819672,0.991452991,0.970711297,117
8,1,1,1,81
9,1,1,1,227
10,0.995901639,0.987804878,0.991836735,246
11,0.933333333,1,0.965517241,42
12,0.970454545,0.940528634,0.955257271,454
13,1,0.98245614,0.991150442,57
14,0.680412371,0.970588235,0.8,68
15,0.987951807,1,0.993939394,82
16,0.978723404,0.978723404,0.978723404,94
17,0.981132075,0.981132075,0.981132075,53
18,1,0.97704918,0.988391376,305
19,1,0.978723404,0.989247312,141
20,0.94,1,0.969072165,47
21,0.961165049,0.99,0.975369458,100
22,0.961538462,0.980392157,0.970873786,51
23,0.966216216,0.986206897,0.976109215,290
24,0.962025316,0.962025316,0.962025316,79
25,1,0.82,0.901098901,150
26,0.952380952,1,0.975609756,40
27,1,0.99270073,0.996336996,137
28,1,1,1,83
29,0.995515695,1,0.997752809,222
30,0.984126984,1,0.992,62
31,1,1,1,47
32,1,1,1,399
33,1,1,1,68
34,0.965432099,0.989873418,0.9775,395
35,0.962962963,0.987341772,0.975,79
36,1,1,1,49
37,1,1,1,44
38,0.945945946,0.940860215,0.943396226,372
39,1,1,1,88
40,0.962616822,0.959627329,0.961119751,322
41,0.984189723,0.922222222,0.952198853,270
42,0.996415771,0.992857143,0.994633274,280
