,imbalance_cnn_acc1,imbalanced_ResNet50_152_acc2,imbalanced_ResNet_L50_acc3,balanced_SMOTE_CNN_acc4,balanced_SMOTE_ResNet_152_acc5,balanced_SMOTE_ResNet_50_acc6,balanced_WT_cnn_acc7,balanced_wt_ResNet_152_acc8,balanced_wt_ResNet_50_acc9,balanced_tk_cnn_acc10,balanced_tk_ResNet50_152_acc11,balanced_tk_ResNet50_50_acc12
0,66.66666666666666,91.66666666666666,97.22222222222221,100.0,98.92933618843684,99.57173447537473,88.88888888888889,100.0,100.0,91.30434782608695,91.30434782608695,97.82608695652173
1,90.08810572687224,96.91629955947137,97.57709251101322,96.64268585131894,95.68345323741008,98.32134292565947,72.4669603524229,94.7136563876652,97.57709251101322,96.63157894736842,69.6842105263158,92.63157894736842
2,99.31662870159454,96.12756264236903,97.26651480637814,99.35064935064936,99.35064935064936,99.78354978354979,97.03872437357631,99.54441913439635,99.77220956719817,100.0,99.75247524752476,95.79207920792079
3,98.86792452830188,100.0,100.0,99.54128440366972,100.0,98.1651376146789,93.20754716981132,98.86792452830188,98.86792452830188,99.61089494163424,99.22178988326849,80.1556420233463
4,99.7624703087886,99.7624703087886,99.7624703087886,100.0,100.0,99.12854030501089,98.57482185273159,99.7624703087886,99.7624703087886,99.51100244498777,98.2885085574572,99.02200488997555
5,99.53703703703704,98.14814814814815,100.0,99.77426636568849,99.54853273137697,99.09706546275395,99.07407407407408,100.0,99.53703703703704,99.75550122249389,100.0,99.51100244498777
6,100.0,99.38271604938271,100.0,100.0,99.78947368421053,100.0,96.91358024691358,100.0,99.38271604938271,100.0,95.85798816568047,97.63313609467455
7,99.14529914529915,97.43589743589743,98.29059829059828,100.0,100.0,100.0,99.14529914529915,96.58119658119658,99.14529914529915,99.15966386554622,90.75630252100841,99.15966386554622
8,100.0,98.76543209876543,97.53086419753086,100.0,100.0,99.78586723768737,97.53086419753086,100.0,100.0,100.0,100.0,94.31818181818183
9,100.0,96.91629955947137,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.7551867219917,100.0
10,97.96747967479675,99.1869918699187,99.1869918699187,96.3963963963964,99.54954954954955,97.52252252252252,95.1219512195122,97.15447154471545,99.1869918699187,99.59839357429718,91.96787148594377,86.74698795180723
11,92.85714285714286,61.904761904761905,85.71428571428571,99.77168949771689,100.0,100.0,100.0,100.0,100.0,97.05882352941177,97.05882352941177,100.0
12,86.56387665198237,88.54625550660793,98.01762114537445,93.62244897959184,96.1734693877551,98.9795918367347,77.31277533039648,94.05286343612335,98.01762114537445,99.09909909909909,81.53153153153153,96.84684684684684
13,98.24561403508771,70.17543859649122,94.73684210526315,99.76470588235294,98.58823529411764,100.0,94.73684210526315,98.24561403508771,98.24561403508771,96.1038961038961,88.31168831168831,90.9090909090909
14,82.35294117647058,60.29411764705882,95.58823529411765,99.57081545064378,100.0,100.0,89.70588235294117,89.70588235294117,95.58823529411765,90.47619047619048,80.95238095238095,87.3015873015873
15,100.0,90.2439024390244,96.34146341463415,100.0,100.0,100.0,98.78048780487805,100.0,100.0,100.0,100.0,96.7032967032967
16,91.48936170212765,68.08510638297872,61.702127659574465,99.3801652892562,99.79338842975206,97.31404958677686,89.36170212765957,97.87234042553192,98.93617021276596,98.9247311827957,97.84946236559139,94.6236559139785
17,84.90566037735849,94.33962264150944,84.90566037735849,100.0,99.7752808988764,100.0,98.11320754716981,98.11320754716981,100.0,100.0,50.877192982456144,96.49122807017544
18,99.672131147541,98.36065573770492,93.44262295081968,99.78494623655914,99.78494623655914,98.70967741935483,95.73770491803279,99.01639344262296,98.68852459016394,100.0,94.73684210526315,97.74436090225564
19,92.90780141843972,97.16312056737588,96.45390070921985,99.7872340425532,99.7872340425532,99.36170212765958,91.48936170212765,99.29078014184397,97.87234042553192,98.14814814814815,87.03703703703704,94.44444444444444
20,87.2340425531915,97.87234042553192,78.72340425531915,99.53917050691244,100.0,97.46543778801843,95.74468085106383,97.87234042553192,100.0,100.0,96.07843137254902,100.0
21,89.0,82.0,97.0,99.76798143851508,98.83990719257541,98.83990719257541,97.0,98.0,98.0,98.9795918367347,89.79591836734694,79.59183673469387
22,94.11764705882352,94.11764705882352,41.17647058823529,100.0,98.82352941176471,100.0,94.11764705882352,98.0392156862745,98.0392156862745,98.18181818181819,96.36363636363636,100.0
23,94.82758620689656,93.44827586206897,89.65517241379311,94.5945945945946,98.1981981981982,88.28828828828829,91.72413793103448,94.48275862068965,98.27586206896551,98.16849816849816,93.4065934065934,97.8021978021978
24,94.9367088607595,83.54430379746836,92.40506329113924,99.79381443298969,99.38144329896907,99.79381443298969,92.40506329113924,97.46835443037975,96.20253164556962,95.95959595959596,95.95959595959596,87.87878787878788
25,97.33333333333334,79.33333333333333,98.0,99.77678571428571,97.76785714285714,99.77678571428571,98.0,98.0,98.0,99.32432432432432,98.64864864864865,92.56756756756756
