,imbalance_cnn_acc1,imbalanced_ResNet50_152_acc2,imbalanced_ResNet_L50_acc3,balanced_SMOTE_CNN_acc4,balanced_SMOTE_ResNet_152_acc5,balanced_SMOTE_ResNet_50_acc6,balanced_WT_cnn_acc7,balanced_wt_ResNet_152_acc8,balanced_wt_ResNet_50_acc9,balanced_tk_cnn_acc10,balanced_tk_ResNet50_152_acc11,balanced_tk_ResNet50_50_acc12
0,100.0,80.55555555555556,97.22222222222221,100.0,98.92933618843684,100.0,97.22222222222221,100.0,100.0,86.95652173913044,95.65217391304348,97.82608695652173
1,96.91629955947137,95.37444933920705,97.57709251101322,94.00479616306954,98.32134292565947,96.64268585131894,91.40969162995594,98.45814977973568,98.01762114537445,93.47368421052632,93.47368421052632,98.52631578947368
2,99.54441913439635,99.54441913439635,100.0,100.0,99.13419913419914,99.56709956709958,99.31662870159454,99.31662870159454,100.0,100.0,99.75247524752476,99.25742574257426
3,98.49056603773585,98.11320754716981,99.24528301886792,98.62385321100918,97.24770642201835,100.0,86.41509433962264,98.11320754716981,98.49056603773585,98.44357976653697,97.66536964980544,100.0
4,99.7624703087886,100.0,100.0,99.78213507625271,99.34640522875817,100.0,99.04988123515439,100.0,100.0,99.51100244498777,99.51100244498777,100.0
5,99.76851851851852,100.0,99.53703703703704,99.32279909706546,98.1941309255079,100.0,99.76851851851852,100.0,100.0,99.51100244498777,97.55501222493888,99.75550122249389
6,100.0,98.14814814814815,100.0,100.0,100.0,100.0,100.0,99.38271604938271,100.0,100.0,100.0,100.0
7,98.29059829059828,99.14529914529915,95.72649572649573,99.8,97.8,100.0,95.72649572649573,99.14529914529915,99.14529914529915,100.0,100.0,99.15966386554622
8,96.29629629629629,98.76543209876543,100.0,100.0,100.0,100.0,97.53086419753086,100.0,100.0,100.0,100.0,100.0
9,100.0,100.0,99.55947136563876,100.0,100.0,100.0,98.23788546255507,100.0,100.0,100.0,99.5850622406639,99.5850622406639
10,98.3739837398374,98.3739837398374,98.78048780487805,99.77477477477478,97.07207207207207,99.09909909909909,94.71544715447155,98.3739837398374,99.59349593495935,99.59839357429718,98.39357429718876,100.0
11,97.61904761904762,95.23809523809523,100.0,99.77168949771689,98.40182648401826,100.0,97.61904761904762,100.0,100.0,100.0,100.0,100.0
12,94.05286343612335,94.49339207048459,98.6784140969163,96.93877551020408,86.22448979591837,97.70408163265306,94.49339207048459,95.59471365638767,99.55947136563876,96.3963963963964,97.07207207207207,98.1981981981982
